,subject_ID,stats_image_parcel5,voxels_numb_parcel5,min_parcel5,10%_parcel5,mean_parcel5,median_parcel5,90%_parcel5,max_parcel5,stddev_parcel5,vox1_parcel5,vox2_parcel5,vox3_parcel5,mm1_parcel5,mm2_parcel5,mm3_parcel5
22,sllip_046,stats/zstat2,928,-2.429,-1.482,-0.7635,-0.7721,-0.04333,2.251,0.6479,52,27,21,34,-64.5,-20.2
23,sllip_047,stats/zstat1,928,-3.436,-2.036,-0.91,-0.9116,0.2157,2.999,0.862,55,30,19,41.5,-57,-25.8
23,sllip_047,stats/zstat2,928,-2.999,-0.2157,0.91,0.9119,2.036,3.436,0.862,47,23,22,21.5,-74.5,-17.5
24,sllip_049,stats/zstat1,928,-6.179,-4.924,-3.018,-3.266,-0.9088,4.451,1.744,55,29,20,41.5,-59.5,-23
24,sllip_049,stats/zstat2,928,-4.451,0.9088,3.018,3.276,4.924,6.179,1.744,44,27,16,14,-64.5,-34
25,sllip_050,stats/zstat1,928,-2.881,-1.561,-0.6487,-0.733,0.338,3.101,0.7885,52,25,21,34,-69.5,-20.2
25,sllip_050,stats/zstat2,928,-3.101,-0.338,0.6487,0.7337,1.561,2.881,0.7885,48,32,17,24,-52,-31.2
26,sllip_051,stats/zstat1,928,-1.11,-0.0742,0.6497,0.617,1.447,2.243,0.5887,45,25,19,16.5,-69.5,-25.8
26,sllip_051,stats/zstat2,928,-2.243,-1.447,-0.6497,-0.6136,0.0742,1.11,0.5887,42,34,21,9,-47,-20.2
27,sllip_054,stats/zstat1,928,-2.79,-0.7166,0.489,0.4838,1.64,5.014,0.9901,51,30,21,31.5,-57,-20.2
27,sllip_054,stats/zstat2,928,-5.014,-1.64,-0.489,-0.4816,0.7166,2.79,0.9901,54,25,20,39,-69.5,-23
1,sllip_060,stats/zstat1,928,-3.2,-2.236,-1.27,-1.321,-0.2674,2.639,0.8078,52,31,21,34,-54.5,-20.2
1,sllip_060,stats/zstat2,928,-2.639,0.2674,1.27,1.321,2.236,3.2,0.8078,46,25,15,19,-69.5,-36.8
28,sllip_061,stats/zstat1,928,-1.573,-0.02793,0.5366,0.5344,1.122,2.729,0.5043,53,29,21,36.5,-59.5,-20.2
28,sllip_061,stats/zstat2,928,-2.729,-1.122,-0.5366,-0.533,0.02793,1.573,0.5043,45,25,22,16.5,-69.5,-17.5
29,sllip_064,stats/zstat1,928,-2.262,-1.095,-0.1505,-0.2823,0.9179,3.792,0.8415,43,25,23,11.5,-69.5,-14.8
29,sllip_064,stats/zstat2,928,-3.792,-0.9179,0.1505,0.2849,1.095,2.262,0.8415,50,32,19,29,-52,-25.8
